BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
BBCA;1009958692500;104365300;8459;9677.15;1;BMRI;717059370000;109386200;14170;6555.30;
BMRI;705455277500;107544000;7574;6559.69;2;BBCA;466333232500;48215100;3494;9671.93;
BBRI;527193437500;91492800;5645;5762.13;3;BBRI;396220005000;68826800;4545;5756.77;
TLKM;349018307000;86624800;6279;4029.08;4;BBNI;155091935000;27089000;5976;5725.27;
BBNI;258574817500;45149600;7695;5727.07;5;TLKM;150206821000;37298100;2498;4027.20;
ASII;155836592500;30323000;4697;5139.22;6;ASII;130937512500;25505800;5215;5133.64;
AMMN;82397000000;10880000;1567;7573.25;7;GOTO;103504255300;1144914600;4655;90.40;
BRIS;70592274000;30482000;5461;2315.87;8;KLBF;61730102500;41237800;2425;1496.93;
ADRO;53852937000;22216700;3831;2423.98;9;AMMN;54846342500;7241000;981;7574.42;
AMRT;44844094000;16916900;1516;2650.85;10;MDKA;48626304000;18917100;4261;2570.49;
GOTO;44251508500;488416900;3171;90.60;11;AKRA;44346904000;27540400;4043;1610.25;
MDKA;41066870000;16211000;1258;2533.27;12;BRIS;43786169000;18777300;4070;2331.87;
SMGR;40879012500;6499900;3695;6289.18;13;AMRT;38215172000;14414900;2155;2651.09;
ICBP;40584615000;3507100;2792;11572.13;14;BRPT;37483567500;35325800;2599;1061.08;
INDF;39677167500;6211800;1775;6387.39;15;ICBP;36002295000;3100400;3204;11612.15;
AKRA;37395950000;23220400;2189;1610.48;16;FILM;33101175000;5458100;9854;6064.60;
TPIA;36966850000;6744500;1852;5481.04;17;MEDC;27735364500;23337100;3045;1188.47;
UNTR;30369395000;1330200;1379;22830.70;18;UNTR;25121292500;1099500;2131;22847.92;
KLBF;30102408500;20050500;897;1501.33;19;PGAS;23426042500;20002500;2148;1171.16;
UNVR;25632736000;8252900;2164;3105.91;20;INKP;23315365000;3023000;2769;7712.66;
MIKA;22277053000;8046200;1797;2768.64;21;ACES;22356889000;26135900;1445;855.41;
BRPT;22265268500;21118100;1183;1054.32;22;INDF;22194432500;3479000;1160;6379.54;
CTRA;22225490000;18348800;1489;1211.28;23;MBMA;21749401000;31956800;1187;680.59;
BULL;21971851300;140413200;1205;156.48;24;ADRO;18589341000;7670700;1454;2423.42;
INCO;21732654000;5531200;1629;3929.10;25;CUAN;17218502500;2624600;2208;6560.43;
TOWR;19530726500;21639300;1690;902.56;26;MTEL;14078108000;20875900;1408;674.37;
CPIN;15664889000;3532000;1262;4435.13;27;SMGR;13599785000;2157200;695;6304.37;
PGAS;14609252500;12478900;1190;1170.72;28;UNVR;13510104000;4344200;1894;3109.92;
JSMR;14560177500;2911600;744;5000.75;29;JSMR;12558239500;2513600;1031;4996.12;
OASA;13193410000;90743000;642;145.39;30;TOWR;12039909000;13341600;1130;902.43;
MTEL;12901281500;19131800;1463;674.34;31;ARTO;11998710000;3708300;1454;3235.64;
PTBA;12180591000;4750100;375;2564.28;32;PTMP;11525239600;53409000;3532;215.79;
PTMP;12130505300;54113400;2823;224.17;33;BIPI;11389704000;129095800;1825;88.23;
ISAT;11826440000;1230900;486;9607.96;34;MYOR;10235726000;4261800;1100;2401.74;
ACES;11089465500;12962400;926;855.51;35;CTRA;9667775000;7948700;2201;1216.27;
MBMA;10371612000;15110100;669;686.40;36;ITMG;9597710000;358700;902;26756.93;
MAPA;10101943000;10310000;1046;979.82;37;TCPI;9572790000;1349700;525;7092.53;
